0 60 -30 0.001 0.001 0.1 0.1 0.1 0.1 0.3 0.3
7.45 -66.6449 -nan -9.884 -nan -7.26484 -nan -3.43054 -nan 0.23601 -nan
7.5 -66.5162 -nan -10.0743 -nan -7.40608 -nan -3.42227 -nan 0.235998 -nan
7.55 -66.3845 -nan -10.2722 -nan -7.55304 -nan -3.41382 -nan 0.235985 -nan
7.6 -66.2498 -nan -10.4782 -nan -7.70601 -nan -3.40519 -nan 0.235972 -nan
7.65 -66.112 -nan -10.6926 -nan -7.86527 -nan -3.39635 -nan 0.23596 -nan
7.7 -65.9709 -nan -10.916 -nan -8.03117 -nan -3.38732 -nan 0.235948 -nan
7.75 -65.8265 -nan -11.1486 -nan -8.20404 -nan -3.37809 -nan 0.235936 -nan
7.8 -65.6788 -nan -11.3912 -nan -8.38426 -nan -3.36864 -nan 0.235924 -nan
7.85 -65.5275 -nan -11.644 -nan -8.57224 -nan -3.35898 -nan 0.235912 -nan
7.9 -65.3725 -nan -11.9079 -nan -8.76839 -nan -3.34909 -nan 0.2359 -nan
7.95 -65.2138 -nan -12.1833 -nan -8.97319 -nan -3.33896 -nan 0.235888 -nan
8 -65.0511 -nan -12.4709 -nan -9.18713 -nan -3.32859 -nan 0.235877 -nan
8.05 -64.8844 -nan -12.7714 -nan -9.41075 -nan -3.31797 -nan 0.235865 -nan
8.1 -64.7135 -nan -13.0856 -nan -9.64463 -nan -3.30709 -nan 0.235854 -nan
8.15 -64.5383 -nan -13.4144 -nan -9.88939 -nan -3.29593 -nan 0.235842 -nan
8.2 -64.3584 -nan -13.7585 -nan -10.1457 -nan -3.28449 -nan 0.235831 -nan
8.25 -64.1739 -nan -14.1191 -nan -10.4144 -nan -3.27276 -nan 0.23582 -nan
8.3 -63.9843 -nan -14.4971 -nan -10.6961 -nan -3.26072 -nan 0.235809 -nan
8.35 -63.7897 -nan -14.8938 -nan -10.9918 -nan -3.24835 -nan 0.235798 -nan
8.4 -63.5896 -nan -15.3103 -nan -11.3025 -nan -3.23565 -nan 0.235787 -nan
8.45 -63.3838 -nan -15.748 -nan -11.6291 -nan -3.22259 -nan 0.235776 -nan
8.5 -63.172 -nan -16.2085 -nan -11.9729 -nan -3.20916 -nan 0.235765 -nan
8.55 -62.954 -nan -16.6934 -nan -12.3351 -nan -3.19534 -nan 0.235754 -nan
8.6 -62.7293 -nan -17.2045 -nan -12.717 -nan -3.1811 -nan 0.235744 -nan
8.65 -62.4976 -nan -17.7437 -nan -13.1202 -nan -3.16643 -nan 0.235733 -nan
8.7 -62.2586 -nan -18.3134 -nan -13.5464 -nan -3.1513 -nan 0.235722 -nan
8.75 -62.0116 -nan -18.916 -nan -13.9974 -nan -3.13567 -nan 0.235712 -nan
8.8 -61.7563 -nan -19.5542 -nan -14.4755 -nan -3.11952 -nan 0.235701 -nan
8.85 -61.492 -nan -20.231 -nan -14.9828 -nan -3.10281 -nan 0.235691 -nan
8.9 -61.2183 -nan -20.9499 -nan -15.522 -nan -3.0855 -nan 0.23568 -nan
8.95 -60.9342 -nan -21.7147 -nan -16.0962 -nan -3.06756 -nan 0.23567 -nan
9 -60.6392 -nan -22.5297 -nan -16.7086 -nan -3.04893 -nan 0.235659 -nan
9.05 -60.3323 -nan -23.3998 -nan -17.3629 -nan -3.02955 -nan 0.235649 -nan
9.1 -60.0126 -nan -24.3306 -nan -18.0636 -nan -3.00937 -nan 0.235639 -nan
9.15 -59.6789 -nan -25.3285 -nan -18.8156 -nan -2.98832 -nan 0.235628 -nan
9.2 -59.33 -nan -26.4007 -nan -19.6245 -nan -2.96632 -nan 0.235618 -nan
9.25 -58.9645 -nan -27.5556 -nan -20.497 -nan -2.94327 -nan 0.235608 -nan
9.3 -58.5807 -nan -28.803 -nan -21.4406 -nan -2.91908 -nan 0.235597 -nan
9.35 -58.1767 -nan -30.1543 -nan -22.4643 -nan -2.89363 -nan 0.235587 -nan
9.4 -57.7503 -nan -31.6229 -nan -23.5786 -nan -2.86678 -nan 0.235577 -nan
9.45 -57.2989 -nan -33.2246 -nan -24.796 -nan -2.83836 -nan 0.235566 -nan
9.5 -56.8196 -nan -34.9781 -nan -26.1315 -nan -2.80818 -nan 0.235556 -nan
9.55 -56.3086 -nan -36.9061 -nan -27.603 -nan -2.77603 -nan 0.235546 -nan
9.6 -55.7617 -nan -39.0358 -nan -29.2325 -nan -2.74163 -nan 0.235536 -nan
9.65 -55.1737 -nan -41.4008 -nan -31.0466 -nan -2.70465 -nan 0.235526 -nan
9.7 -54.5384 -nan -44.0423 -nan -33.0788 -nan -2.6647 -nan 0.235515 -nan
9.75 -53.8479 -nan -47.0118 -nan -35.3709 -nan -2.62129 -nan 0.235505 -nan
9.8 -53.0926 -nan -50.3744 -nan -37.9762 -nan -2.57382 -nan 0.235495 -nan
9.85 -52.2602 -nan -54.2136 -nan -40.9631 -nan -2.52152 -nan 0.235485 -nan
9.9 -51.3353 -nan -58.638 -nan -44.4218 -nan -2.4634 -nan 0.235474 -nan
9.95 -50.2976 -nan -63.7911 -nan -48.4722 -nan -2.3982 -nan 0.235464 -nan
10 -49.1201 -nan -69.8663 -nan -53.2772 -nan -2.32423 -nan 0.235454 -nan
10.05 -47.7669 -nan -77.1295 -nan -59.0631 -nan -2.23921 -nan 0.235444 -nan
10.1 -46.1879 -nan -85.9543 -nan -66.1515 -nan -2.13998 -nan 0.235433 -nan
10.15 -44.3125 -nan -96.8794 -nan -75.0115 -nan -2.02211 -nan 0.235423 -nan
10.2 -42.0384 -nan -110.702 -nan -86.3461 -nan -1.8791 -nan 0.235413 -nan
10.25 -39.2119 -nan -128.638 -nan -101.239 -nan -1.70123 -nan 0.235402 -nan
10.3 -35.5969 -nan -152.591 -nan -121.406 -nan -1.47349 -nan 0.235392 -nan
10.35 -30.8192 -nan -185.612 -nan -149.596 -nan -1.172 -nan 0.235381 -nan
10.4 -24.2801 -nan -232.599 -nan -190.124 -nan -0.758226 -nan 0.23537 -nan
10.45 -15.0552 -nan -300.941 -nan -248.79 -nan -0.171653 -nan 0.235359 -nan
10.5 -1.98443 -nan -398.564 -nan -327.85 -nan 0.667622 -nan 0.235348 -nan
10.55 15.1259 -nan -517.969 -nan -400.844 -nan 1.79025 -nan 0.235337 -nan
10.6 32.1009 -nan -593.572 -nan -381.834 -nan 2.9618 -nan 0.235325 -nan
10.65 41.7295 -nan -554.965 -nan -279.232 -nan 3.70391 -nan 0.235313 -nan
10.7 44.6333 -nan -510.1 -nan -259.892 -nan 3.87986 -nan 0.2353 -nan
10.75 45.0375 -nan -523.375 -nan -297.115 -nan 3.84604 -nan 0.235287 -nan
10.8 44.5316 -nan -559.943 -nan -331.789 -nan 3.7992 -nan 0.235273 -nan
10.85 43.57 -nan -604.711 -nan -356.977 -nan 3.76386 -nan 0.23526 -nan
10.9 42.3041 -nan -653.64 -nan -372.102 -nan 3.74438 -nan 0.235246 -nan
10.95 40.7895 -nan -705.143 -nan -375.515 -nan 3.7457 -nan 0.235231 -nan
11 39.0445 -nan -758.25 -nan -364.583 -nan 3.774 -nan 0.235216 -nan
