1.25 -22.5977 29.0147 -0.00157198 0.0120578 -1.09444 0.262102 -0.726563 3.75764 0.257675 0.257515 0.109088 0.369695
1.3 -24.8577 28.4748 -0.00158416 0.0121241 -1.10149 0.141703 -0.878745 3.21298 0.256848 0.256735 0.107193 0.362658
1.35 -27.1083 27.1149 -0.00159247 0.0121501 -1.10609 0.0681736 -1.02943 2.86216 0.25606 0.255999 0.104219 0.364447
1.4 -29.3634 25.2899 -0.00159761 0.0121354 -1.10873 0.020011 -1.17964 2.61711 0.25531 0.255306 0.100056 0.371208
1.45 -31.6395 23.2257 -0.00160026 0.0120809 -1.10988 -0.015366 -1.33056 2.42308 0.254595 0.254653 0.0945648 0.380118
1.5 -33.9556 21.0469 -0.00160109 0.0119884 -1.10997 -0.044282 -1.48349 2.25126 0.253913 0.25404 0.0875773 0.389481
1.55 -36.332 18.816 -0.00160071 0.0118602 -1.10945 -0.0695484 -1.63986 2.08847 0.253264 0.253463 0.0788921 0.398416
1.6 -38.79 16.5631 -0.00159972 0.0116992 -1.10868 -0.0923071 -1.8011 1.92945 0.252646 0.252921 0.0682779 0.406514
1.65 -41.349 14.3029 -0.0015986 0.0115079 -1.10795 -0.113009 -1.96855 1.77236 0.252056 0.252412 0.0554863 0.413596
1.7 -44.0234 12.0436 -0.00159767 0.0112891 -1.10743 -0.13185 -2.14316 1.61671 0.251495 0.251935 0.0402773 0.419585
1.75 -46.8164 9.79051 -0.00159703 0.0110454 -1.10707 -0.148946 -2.32515 1.46245 0.250959 0.251488 0.0224695 0.424446
1.8 -49.7121 7.54727 -0.00159645 0.0107793 -1.10657 -0.16439 -2.51345 1.30965 0.250449 0.251068 0.00201742 0.428158
1.85 -52.6667 5.31662 -0.00159521 0.0104931 -1.10524 -0.178269 -2.70515 1.15838 0.249962 0.250676 -0.0208852 0.430704
1.9 -55.602 3.1006 -0.00159207 0.0101891 -1.10205 -0.190673 -2.89505 1.00871 0.249499 0.250308 -0.0457037 0.432074
1.95 -58.4082 0.900677 -0.00158534 0.00986944 -1.09571 -0.20169 -3.0759 0.860663 0.249056 0.249965 -0.0715226 0.432253
2 -60.9615 -1.28225 -0.00157314 0.00953605 -1.08497 -0.211409 -3.23958 0.714247 0.248634 0.249643 -0.0971424 0.431231
2.05 -63.1547 -3.44774 -0.00155394 0.00919079 -1.06902 -0.219918 -3.37913 0.569435 0.248232 0.249343 -0.121334 0.428994
2.1 -64.9281 -5.59586 -0.00152706 0.00883539 -1.04774 -0.227302 -3.49074 0.426178 0.247848 0.249063 -0.143154 0.425525
2.15 -66.2814 -7.72712 -0.0014929 0.00847142 -1.02178 -0.233647 -3.57452 0.284397 0.247482 0.248802 -0.162156 0.420808
2.2 -67.2626 -9.84254 -0.00145274 0.00810035 -0.992232 -0.239035 -3.63378 0.143986 0.247133 0.248558 -0.17838 0.414819
2.25 -67.9437 -11.9437 -0.0014083 0.00772352 -0.960329 -0.243545 -3.67338 0.00480353 0.2468 0.248331 -0.192191 0.40753
2.3 -68.3989 -14.033 -0.00136127 0.00734216 -0.927163 -0.247258 -3.6983 -0.13333 0.246482 0.248119 -0.20408 0.398905
2.35 -68.6919 -16.1133 -0.00131305 0.00695737 -0.893578 -0.250249 -3.71276 -0.270647 0.246178 0.247922 -0.214523 0.388895
2.4 -68.8716 -18.189 -0.00126467 0.00657015 -0.86017 -0.252598 -3.72003 -0.407445 0.245889 0.247738 -0.223917 0.377438
2.45 -68.9735 -20.2653 -0.00121684 0.00618136 -0.827328 -0.25438 -3.72242 -0.544104 0.245612 0.247567 -0.232563 0.364449
2.5 -69.0224 -22.3496 -0.00117001 0.00579178 -0.795294 -0.255676 -3.72155 -0.68111 0.245348 0.247408 -0.24068 0.349813
